OS: Cruise Ship Royal Princess
Trainee: 
Exercise name: FMB2_201.nti
Area: Dover
Exercise start time: 12:00:00
Exercise date: 11/28/2023
Step (sec): 1
Model version: 2.222.1804.0 / 0.0.0.0 / 2.94.4021.0 / 3.0.97.0

time,Local position X,Local position Y,Heading,Autopilot state,Autopilot course,Rate of turn,Port telegraph order,Starboard telegraph order,Port engine RPM,Starboard engine RPM,Port propeller pitch,Starboard propeller pitch,Port rudder order,Starboard rudder order,Port rudder angle,Starboard rudder angle,Bow thruster power order,Bow thruster gained power,Stern thruster power order,Stern thruster gained power,Distance made Good,Water depth (echo-sounder),Draft at ship bow,Draft at ship stern,Under keel clearance fwd,Under keel clearance aft,Current speed,Current direction,True wind speed,True wind direction,Relative wind speed,Relative wind direction,Significant wave height,Wave direction,Longitudinal speed through the water,Transverse speed through the water,Longitudinal speed,Transverse speed,Transverse speed at ship's bow,Transverse speed at ship's stern,Drift angle,Surge,Surge speed,Sway,Sway speed,Heave,Heave speed,Yaw angle,Yaw rate,Roll angle,Roll rate,Pitch angle,Pitch rate,Height above the water
,meters,meters,degrees,,degrees,degrees_per_minute,,,,,,,degrees,degrees,degrees,degrees,,percent_tenths,,percent_tenths,meters,meters,meters,meters,meters,meters,knots,degrees,knots,degrees,knots,degrees,meters,degrees,knots,knots,knots,knots,knots,knots,degrees,meters,knots,meters,knots,meters,knots,degrees,degrees_per_minute,degrees,degrees_per_minute,degrees,degrees_per_minute,meters
00:00:00,"1,013.14","1,654.89","240.00",Off,"239.90","0.0","30.000000","30.000000","43.000000","43.000000","0.000000","0.000000","0.00","0.00","0.00","0.00","0.000000","0.0","0.000000","0.0","1.00","0.00","0.00","0.00","0.00","0.00","0.3","22.60","0.0","0.00","0.0","0.00","0.00","0.00","0.1","6.9","6.6","0.2","0.2","0.2","0.00","0.00","0.0","0.00","0.0","0.00","0.0","0.00","0.0","359.90","0.0","359.93","-0.0","5.34"
00:00:01,"1,010.58","1,653.54","240.00",Off,"240.00","0.0","30.000000","30.000000","43.000000","43.000000","0.000000","0.000000","0.00","0.00","0.00","0.00","0.000000","0.0","1.000000","0.0","3.00","15.18","8.47","8.11","5.43","8.34","0.3","22.80","12.4","221.10","18.7","348.40","0.20","225.00","0.1","6.9","6.6","0.2","0.2","0.2","357.86","0.72","0.0","0.03","-0.0","-0.00","-0.1","0.00","0.0","359.91","0.6","359.94","2.1","5.31"
00:00:02,"1,007.57","1,651.94","240.00",Off,"240.00","0.0","30.000000","30.000000","43.000000","43.000000","0.000000","0.000000","0.00","0.00","0.00","0.00","0.000000","0.0","1.000000","1.0","7.00","15.17","8.43","8.26","5.49","8.16","0.3","23.90","12.2","221.30","18.5","348.60","0.20","225.00","0.1","6.9","6.6","0.2","0.2","0.2","357.92","1.93","0.0","0.07","-0.0","-0.03","-0.1","0.00","0.0","359.92","1.3","359.99","3.4","5.25"
00:00:03,"1,004.56","1,650.34","240.00",Off,"240.00","0.0","30.000000","30.000000","43.000000","43.000000","0.000000","0.000000","0.00","0.00","0.00","0.00","0.000000","0.0","0.000000","1.0","10.00","15.16","8.37","8.43","5.57","7.94","0.3","25.60","12.5","221.50","18.9","348.60","0.20","225.00","0.1","6.9","6.6","0.2","0.2","0.2","357.95","2.37","0.0","0.09","-0.0","-0.04","-0.0","0.00","0.0","359.95","1.8","0.03","2.2","5.20"
00:00:04,"1,001.56","1,648.75","240.00",Off,"240.00","0.1","30.000000","30.000000","42.000000","42.000000","0.000000","0.000000","0.00","0.00","0.00","0.00","0.000000","0.0","1.000000","1.0","14.00","15.15","8.33","8.53","5.63","7.81","0.3","25.60","12.9","221.50","19.2","348.40","0.20","225.00","0.1","6.8","6.6","0.2","0.2","0.2","357.97","2.53","-0.0","0.09","-0.0","-0.03","0.0","0.00","0.0","359.98","2.2","0.04","0.3","5.19"
00:00:05,"998.56","1,647.16","240.00",Off,"240.00","0.1","30.000000","30.000000","43.000000","43.000000","0.000000","0.000000","0.00","0.00","0.00","0.00","0.000000","0.0","1.000000","1.0","17.00","15.14","8.32","8.54","5.66","7.77","0.3","25.60","12.9","221.30","19.2","348.30","0.20","225.00","0.1","6.8","6.6","0.2","0.2","0.2","357.98","2.58","-0.0","0.09","-0.0","-0.01","0.1","0.00","0.0","0.02","2.3","0.04","-0.8","5.20"
00:00:06,"995.58","1,645.57","240.01",Off,"240.00","0.1","0.000000","0.000000","42.000000","42.000000","0.000000","0.000000","0.00","0.00","0.00","0.00","0.000000","0.0","1.000000","1.0","21.00","15.14","8.34","8.48","5.64","7.82","0.3","25.60","12.7","221.60","19.0","348.60","0.20","225.00","0.1","6.8","6.6","0.2","0.2","0.2","357.97","2.60","-0.0","0.09","-0.0","0.01","0.1","0.00","0.0","0.06","2.5","0.02","-1.7","5.22"
00:00:07,"992.59","1,643.99","240.01",Off,"240.00","0.1","0.000000","0.000000","40.000000","40.000000","0.000000","0.000000","0.00","0.00","0.00","0.00","0.000000","0.0","16.000000","5.0","24.00","15.17","8.36","8.42","5.69","7.88","0.3","28.10","12.6","222.60","18.9","349.30","0.20","225.00","0.1","6.8","6.6","0.2","0.2","0.2","357.94","2.60","-0.0","0.09","-0.0","0.01","0.0","0.01","0.0","0.09","2.2","0.00","-0.7","5.23"
00:00:08,"989.60","1,642.41","240.01",Off,"240.00","0.1","0.000000","0.000000","37.000000","37.000000","0.000000","0.000000","0.00","0.00","0.00","0.00","0.000000","0.0","16.000000","15.0","28.00","15.19","8.39","8.38","5.69","7.92","0.3","28.90","12.7","223.70","19.0","350.00","0.20","225.00","0.1","6.8","6.6","0.2","0.3","0.2","357.91","2.60","-0.0","0.09","0.0","0.01","0.0","0.01","0.0","0.13","1.9","0.00","-0.1","5.23"
00:00:09,"986.61","1,640.83","240.01",Off,"240.00","0.1","0.000000","0.000000","33.000000","33.000000","0.000000","0.000000","0.00","0.00","0.00","0.00","0.000000","0.0","16.000000","16.0","31.00","15.20","8.39","8.39","5.70","7.91","0.3","29.90","12.9","223.90","19.3","350.00","0.20","225.00","0.1","6.8","6.6","0.2","0.3","0.2","357.85","2.60","-0.0","0.10","0.0","0.00","-0.0","0.01","0.0","0.15","1.3","0.00","0.3","5.23"
00:00:10,"983.62","1,639.25","240.01",Off,"240.00","0.2","0.000000","0.000000","30.000000","30.000000","0.000000","0.000000","0.00","0.00","0.00","0.00","0.000000","0.0","16.000000","16.0","35.00","15.21","8.38","8.41","5.73","7.89","0.3","35.30","13.3","223.00","19.6","349.30","0.20","225.00","0.1","6.9","6.6","0.3","0.3","0.2","357.79","2.60","-0.0","0.10","0.0","-0.00","0.0","0.01","0.0","0.17","0.8","0.01","0.6","5.22"
00:00:11,"980.64","1,637.69","240.02",Off,"240.00","0.2","0.000000","0.000000","27.000000","27.000000","0.000000","0.000000","0.00","0.00","0.00","0.00","0.000000","0.0","16.000000","16.0","38.00","15.23","8.37","8.43","5.78","7.87","0.3","35.30","13.6","222.30","19.8","348.80","0.20","225.00","0.1","6.8","6.5","0.3","0.3","0.2","357.72","2.60","-0.0","0.10","0.0","-0.00","0.0","0.01","0.0","0.18","0.3","0.01","0.3","5.22"
00:00:12,"977.66","1,636.12","240.02",Off,"240.00","0.2","0.000000","0.000000","25.000000","25.000000","0.000000","0.000000","0.00","0.00","0.00","0.00","0.000000","0.0","16.000000","16.0","42.00","15.27","8.36","8.44","5.88","7.86","0.3","35.30","13.7","222.80","20.0","349.10","0.20","225.00","0.1","6.8","6.5","0.3","0.3","0.3","357.65","2.60","-0.0","0.10","0.0","-0.00","0.0","0.01","0.0","0.18","-0.3","0.02","0.0","5.22"
00:00:13,"974.68","1,634.57","240.02",Off,"240.00","0.2","0.000000","0.000000","23.000000","24.000000","0.000000","0.000000","359.00","359.00","359.00","359.00","0.000000","0.0","16.000000","16.0","45.00","15.31","8.36","8.44","5.94","7.87","0.3","35.30","13.4","224.40","19.7","350.20","0.20","225.00","0.1","6.8","6.5","0.3","0.3","0.3","357.59","2.59","-0.0","0.11","0.0","0.00","0.0","0.02","0.0","0.17","-0.8","0.01","-0.2","5.22"
00:00:14,"971.71","1,633.02","240.02",Off,"240.00","0.1","0.000000","0.000000","22.000000","22.000000","0.000000","0.000000","1.00","1.00","0.00","0.00","0.000000","0.0","16.000000","16.0","49.00","15.25","8.37","8.44","5.80","7.90","0.3","34.60","12.8","225.40","19.1","351.10","0.20","225.00","0.1","6.8","6.5","0.3","0.3","0.3","357.53","2.59","-0.0","0.11","0.0","-0.00","-0.0","0.02","-0.0","0.15","-1.2","0.01","-0.2","5.22"
00:00:15,"968.74","1,631.48","240.03",Off,"240.00","0.1","0.000000","0.000000","21.000000","22.000000","0.000000","0.000000","359.00","359.00","359.00","359.00","0.000000","0.0","16.000000","16.0","52.00","15.28","8.37","8.43","5.84","7.93","0.3","35.70","12.0","224.80","18.3","351.00","0.20","225.00","0.2","6.8","6.5","0.3","0.3","0.3","357.48","2.58","-0.0","0.11","0.0","0.00","-0.0","0.02","-0.0","0.13","-1.6","0.01","-0.1","5.22"
00:00:16,"965.77","1,629.94","240.03",Off,"240.00","0.1","0.000000","0.000000","21.000000","21.000000","0.000000","0.000000","359.00","359.00","359.00","359.00","0.000000","0.0","16.000000","16.0","56.00","15.34","8.37","8.42","5.93","7.96","0.3","37.70","11.8","223.30","18.0","350.10","0.20","225.00","0.2","6.8","6.5","0.3","0.3","0.3","357.45","2.58","-0.0","0.11","0.0","0.00","0.0","0.02","-0.0","0.10","-1.8","0.01","-0.0","5.22"
00:00:17,"962.81","1,628.40","240.03",Off,"240.00","0.1","0.000000","0.000000","20.000000","20.000000","0.000000","0.000000","359.00","359.00","359.00","359.00","0.000000","0.0","16.000000","16.0","59.00","15.30","8.38","8.42","5.81","7.98","0.3","37.70","12.1","222.60","18.3","349.50","0.20","225.00","0.2","6.8","6.5","0.3","0.3","0.3","357.43","2.57","-0.0","0.11","0.0","-0.00","0.0","0.02","-0.0","0.07","-1.8","0.01","0.0","5.22"
00:00:18,"959.86","1,626.87","240.03",Off,"240.00","0.1","0.000000","0.000000","20.000000","20.000000","0.000000","0.000000","1.00","1.00","0.00","0.00","0.000000","0.0","16.000000","16.0","64.00","15.23","8.37","8.43","5.66","8.00","0.3","37.70","12.5","223.60","18.7","350.00","0.20","225.00","0.2","6.7","6.5","0.3","0.3","0.3","357.42","2.57","-0.0","0.11","0.0","-0.00","-0.0","0.02","-0.0","0.04","-1.7","0.01","0.1","5.22"
00:00:19,"956.91","1,625.34","240.03",Off,"240.00","0.1","0.000000","0.000000","19.000000","20.000000","0.000000","0.000000","359.00","359.00","359.00","359.00","0.000000","0.0","16.000000","16.0","66.00","15.16","8.37","8.43","5.51","8.02","0.3","37.70","12.5","225.30","18.8","351.10","0.20","225.00","0.2","6.7","6.4","0.3","0.3","0.3","357.43","2.56","-0.1","0.11","0.0","-0.00","-0.0","0.02","-0.0","0.01","-1.7","0.01","0.1","5.22"
00:00:20,"953.97","1,623.82","240.03",Off,"240.00","0.0","0.000000","0.000000","19.000000","19.000000","0.000000","0.000000","359.00","359.00","359.00","359.00","0.000000","0.0","16.000000","16.0","70.00","15.19","8.37","8.43","5.56","8.01","0.3","40.10","12.1","225.70","18.4","351.50","0.20","225.00","0.2","6.7","6.4","0.3","0.3","0.3","357.45","2.56","-0.1","0.11","0.0","-0.00","-0.0","0.02","-0.0","359.99","-1.2","0.01","-0.0","5.22"
00:00:21,"951.03","1,622.29","240.03",Off,"240.00","0.0","0.000000","0.000000","19.000000","19.000000","0.000000","0.000000","359.00","359.00","359.00","359.00","0.000000","0.0","16.000000","16.0","73.00","15.36","8.37","8.43","5.93","7.99","0.3","41.40","11.7","224.40","17.9","350.80","0.20","225.00","0.2","6.7","6.4","0.3","0.3","0.3","357.47","2.55","-0.1","0.11","0.0","0.00","0.0","0.02","-0.0","359.98","-0.8","0.01","-0.0","5.22"
00:00:22,"948.10","1,620.77","240.03",Off,"240.00","0.0","0.000000","0.000000","19.000000","19.000000","0.000000","0.000000","359.00","359.00","359.00","359.00","0.000000","0.0","16.000000","16.0","76.00","15.35","8.37","8.43","5.93","7.97","0.3","42.30","11.5","222.50","17.7","349.60","0.20","225.00","0.2","6.7","6.4","0.3","0.3","0.3","357.51","2.55","-0.1","0.11","-0.0","-0.00","0.0","0.02","-0.0","359.97","-0.3","0.01","-0.0","5.22"
00:00:23,"945.18","1,619.25","240.03",Off,"240.00","-0.0","-10.000000","0.000000","19.000000","19.000000","0.000000","0.000000","1.00","1.00","0.00","0.00","0.000000","0.0","16.000000","16.0","80.00","15.34","8.37","8.43","5.93","7.96","0.3","43.60","11.6","221.60","17.7","348.90","0.20","225.00","0.2","6.7","6.4","0.3","0.3","0.3","357.54","2.54","-0.1","0.11","-0.0","-0.00","-0.0","0.02","-0.0","359.97","0.2","0.01","-0.0","5.22"
00:00:24,"942.26","1,617.73","240.03",Off,"240.00","-0.0","-30.000000","-30.000000","18.000000","18.000000","0.000000","0.000000","1.00","1.00","0.00","0.00","0.000000","0.0","16.000000","16.0","83.00","15.34","8.37","8.43","5.93","7.94","0.3","47.10","11.9","221.80","18.0","349.00","0.20","225.00","0.2","6.7","6.4","0.3","0.3","0.3","357.58","2.54","-0.1","0.11","-0.0","-0.00","0.0","0.02","-0.0","359.97","0.6","0.01","-0.0","5.22"
00:00:25,"939.35","1,616.21","240.03",Off,"240.00","-0.0","-50.000000","-50.000000","18.000000","18.000000","0.000000","0.000000","1.00","1.00","0.00","0.00","0.000000","0.0","16.000000","16.0","87.00","15.34","8.38","8.43","5.95","7.92","0.3","47.10","12.4","222.30","18.5","349.10","0.20","225.00","0.2","6.7","6.4","0.3","0.3","0.3","357.60","2.53","-0.1","0.11","-0.0","-0.00","0.0","0.02","-0.0","359.99","1.0","0.01","-0.0","5.22"
00:00:26,"936.44","1,614.69","240.03",Off,"240.00","-0.0","-50.000000","-50.000000","18.000000","18.000000","0.000000","0.000000","359.00","359.00","359.00","359.00","0.000000","0.0","16.000000","16.0","90.00","15.34","8.38","8.43","5.97","7.90","0.3","47.10","13.3","222.10","19.4","348.60","0.20","225.00","0.2","6.7","6.4","0.3","0.3","0.3","357.62","2.53","-0.1","0.11","-0.0","-0.00","-0.0","0.02","-0.0","0.01","1.4","0.01","-0.0","5.22"
00:00:27,"933.55","1,613.17","240.03",Off,"240.00","-0.0","-50.000000","-50.000000","17.000000","17.000000","0.000000","0.000000","359.00","359.00","359.00","359.00","0.000000","0.0","16.000000","16.0","94.00","15.33","8.37","8.43","5.98","7.87","0.3","47.10","14.5","221.40","20.6","347.70","0.20","225.00","0.2","6.7","6.3","0.3","0.3","0.3","357.64","2.52","-0.1","0.10","-0.0","0.00","0.0","0.02","-0.0","0.03","1.6","0.01","0.0","5.22"
00:00:28,"930.65","1,611.66","240.03",Off,"240.00","-0.0","-50.000000","-50.000000","17.000000","17.000000","0.000000","0.000000","1.00","1.00","0.00","0.00","0.000000","0.0","16.000000","16.0","97.00","15.28","8.37","8.43","5.93","7.84","0.3","47.80","15.7","221.00","21.8","347.00","0.20","225.00","0.2","6.6","6.3","0.3","0.3","0.3","357.64","2.52","-0.1","0.10","-0.0","-0.00","0.0","0.01","-0.0","0.06","1.9","0.01","0.0","5.22"
00:00:29,"927.77","1,610.15","240.03",Off,"240.00","-0.0","-50.000000","-50.000000","16.000000","16.000000","0.000000","0.000000","359.00","359.00","359.00","359.00","0.000000","0.0","16.000000","16.0","102.00","15.28","8.37","8.43","5.94","7.81","0.3","49.60","16.5","220.90","22.5","346.80","0.20","225.00","0.2","6.6","6.3","0.3","0.3","0.3","357.62","2.51","-0.1","0.10","-0.0","-0.00","0.0","0.01","0.0","0.09","1.9","0.01","-0.0","5.22"
00:00:30,"924.89","1,608.65","240.03",Off,"240.00","-0.0","-50.000000","-50.000000","16.000000","16.000000","0.000000","0.000000","359.00","359.00","359.00","359.00","0.000000","0.0","16.000000","16.0","104.00","15.34","8.38","8.43","6.09","7.78","0.3","51.00","16.8","220.70","22.8","346.60","0.20","225.00","0.2","6.6","6.3","0.3","0.3","0.3","357.60","2.51","-0.1","0.10","-0.0","-0.00","0.0","0.01","0.0","0.12","2.0","0.01","-0.0","5.22"
