OS: Cruise Ship Royal Princess
Trainee: 
Exercise name: FMB2_204.nti
Area: Dover
Exercise start time: 12:00:00
Exercise date: 11/28/2023
Step (sec): 1
Model version: 2.222.1804.0 / 0.0.0.0 / 2.94.4021.0 / 3.0.97.0

time,Latitude,Longitude,COG,SOG,Heading,Log,Set,Drift,Transverse speed at ship's bow,Transverse speed at ship's stern,Port rudder angle,Rate of turn,Port engine RPM,Starboard engine RPM,Port propeller pitch,Starboard propeller pitch,Bow thruster gained power,Stern thruster gained power
,,,degrees,knots,degrees,knots,degrees,knots,knots,knots,degrees,degrees_per_minute,,,,,percent_tenths,percent_tenths
00:00:00,"51.130449","1.383304","250.50","10.1","250.00","9.9","277.03","0.2","0.1","0.1","0.00","0.0","61.000000","61.000000","0.000000","0.000000","0.0","0.0"
00:00:01,"51.130436","1.383244","250.57","10.1","250.00","9.9","280.03","0.2","0.1","0.1","0.00","0.0","61.000000","62.000000","0.000000","0.000000","2.0","0.0"
00:00:02,"51.130420","1.383174","250.65","10.1","250.00","9.9","283.43","0.2","0.1","0.1","0.00","0.0","61.000000","62.000000","0.000000","0.000000","2.0","0.0"
00:00:03,"51.130405","1.383104","250.69","10.1","250.00","9.9","284.91","0.2","0.1","0.1","0.00","0.0","61.000000","62.000000","0.000000","0.000000","2.0","0.0"
00:00:04,"51.130389","1.383033","250.74","10.1","250.00","9.9","286.56","0.2","0.1","0.1","0.00","0.0","61.000000","62.000000","0.000000","0.000000","2.0","0.0"
00:00:05,"51.130374","1.382963","250.73","10.1","250.00","9.9","286.46","0.2","0.1","0.1","0.00","0.0","61.000000","62.000000","0.000000","0.000000","2.0","0.0"
00:00:06,"51.130358","1.382893","250.74","10.1","250.00","9.9","286.60","0.2","0.1","0.1","0.00","0.0","61.000000","62.000000","0.000000","0.000000","2.0","0.0"
00:00:07,"51.130343","1.382822","250.69","10.1","250.00","9.9","284.73","0.2","0.1","0.1","0.00","0.0","61.000000","62.000000","0.000000","0.000000","2.0","0.0"
00:00:08,"51.130328","1.382752","250.64","10.1","250.00","9.9","282.69","0.2","0.1","0.1","0.00","0.0","61.000000","62.000000","0.000000","0.000000","2.0","0.0"
00:00:09,"51.130312","1.382682","250.58","10.1","250.00","9.9","279.85","0.2","0.1","0.1","0.00","0.0","61.000000","63.000000","0.000000","0.000000","2.0","0.0"
00:00:10,"51.130296","1.382612","250.50","10.1","250.01","9.9","276.53","0.2","0.1","0.1","0.00","0.0","63.000000","64.000000","0.000000","0.000000","2.0","0.0"
00:00:11,"51.130281","1.382542","250.42","10.1","250.01","9.9","272.80","0.2","0.1","0.1","0.00","0.1","67.000000","68.000000","0.000000","0.000000","2.0","0.0"
00:00:12,"51.130265","1.382471","250.35","10.1","250.01","9.9","269.07","0.2","0.1","0.1","0.00","0.1","71.000000","72.000000","0.000000","0.000000","2.0","0.0"
00:00:13,"51.130249","1.382401","250.29","10.1","250.01","9.9","265.55","0.2","0.1","0.0","0.00","0.1","71.000000","73.000000","0.000000","0.000000","2.0","0.0"
00:00:14,"51.130234","1.382331","250.23","10.1","250.01","9.9","262.09","0.2","0.1","0.0","0.00","0.2","72.000000","73.000000","0.000000","0.000000","2.0","0.0"
00:00:15,"51.130218","1.382261","250.19","10.1","250.01","9.9","260.10","0.2","0.0","0.0","0.00","0.2","72.000000","73.000000","0.000000","0.000000","2.0","0.0"
00:00:16,"51.130202","1.382191","250.17","10.1","250.02","9.9","258.56","0.2","0.0","0.0","0.00","0.2","71.000000","71.000000","0.000000","0.000000","2.0","0.0"
00:00:17,"51.130186","1.382121","250.16","10.1","250.02","9.9","257.98","0.2","0.0","0.0","0.00","0.3","70.000000","70.000000","0.000000","0.000000","2.0","0.0"
00:00:18,"51.130170","1.382051","250.17","10.1","250.03","9.9","257.54","0.2","0.1","-0.0","0.00","0.3","70.000000","70.000000","0.000000","0.000000","2.0","0.0"
00:00:19,"51.130154","1.381980","250.18","10.1","250.03","9.9","257.74","0.2","0.1","-0.0","0.00","0.3","70.000000","70.000000","0.000000","0.000000","2.0","0.0"
00:00:20,"51.130138","1.381910","250.23","10.1","250.04","9.9","260.12","0.2","0.1","0.0","0.00","0.4","70.000000","70.000000","0.000000","0.000000","2.0","0.0"
00:00:21,"51.130123","1.381840","250.28","10.1","250.04","9.9","262.09","0.2","0.1","0.0","0.00","0.4","70.000000","70.000000","0.000000","0.000000","2.0","0.0"
00:00:22,"51.130107","1.381769","250.32","10.1","250.05","9.9","264.19","0.2","0.1","0.0","0.00","0.4","70.000000","70.000000","0.000000","0.000000","2.0","0.0"
00:00:23,"51.130091","1.381699","250.37","10.1","250.06","9.9","266.25","0.2","0.1","0.0","0.00","0.4","70.000000","70.000000","0.000000","0.000000","2.0","0.0"
00:00:24,"51.130075","1.381629","250.42","10.1","250.06","9.9","268.13","0.2","0.1","0.0","0.00","0.4","70.000000","70.000000","0.000000","0.000000","2.0","0.0"
00:00:25,"51.130060","1.381558","250.46","10.1","250.07","10.0","269.89","0.2","0.1","0.0","0.00","0.4","70.000000","70.000000","0.000000","0.000000","2.0","0.0"
00:00:26,"51.130044","1.381488","250.49","10.2","250.08","10.0","270.78","0.2","0.1","0.0","0.00","0.4","70.000000","70.000000","0.000000","0.000000","2.0","0.0"
00:00:27,"51.130028","1.381417","250.51","10.2","250.09","10.0","271.42","0.2","0.1","0.0","0.00","0.4","70.000000","70.000000","0.000000","0.000000","2.0","0.0"
00:00:28,"51.130012","1.381346","250.52","10.2","250.09","10.0","271.43","0.2","0.1","0.0","0.00","0.5","70.000000","70.000000","0.000000","0.000000","2.0","0.0"
00:00:29,"51.129997","1.381276","250.51","10.2","250.10","10.0","270.75","0.2","0.1","0.0","0.00","0.5","70.000000","70.000000","0.000000","0.000000","2.0","0.0"
00:00:30,"51.129981","1.381205","250.49","10.2","250.11","10.0","269.51","0.2","0.1","0.0","0.00","0.5","70.000000","70.000000","0.000000","0.000000","2.0","0.0"
00:00:31,"51.129965","1.381134","250.47","10.2","250.12","10.0","268.13","0.2","0.1","0.0","0.00","0.5","70.000000","70.000000","0.000000","0.000000","2.0","0.0"
00:00:32,"51.129950","1.381064","250.42","10.2","250.13","10.0","264.85","0.2","0.1","-0.0","0.00","0.6","70.000000","70.000000","0.000000","0.000000","2.0","0.0"
00:00:33,"51.129934","1.380993","250.36","10.2","250.14","10.0","261.63","0.2","0.1","-0.0","0.00","0.6","70.000000","70.000000","0.000000","0.000000","2.0","0.0"
00:00:34,"51.129918","1.380922","250.30","10.2","250.15","10.0","258.22","0.2","0.1","-0.0","0.00","0.6","70.000000","70.000000","0.000000","0.000000","2.0","0.0"
00:00:35,"51.129902","1.380852","250.24","10.2","250.16","10.0","254.14","0.2","0.1","-0.1","0.00","0.7","70.000000","70.000000","0.000000","0.000000","2.0","0.0"
00:00:36,"51.129886","1.380781","250.17","10.2","250.17","10.0","250.23","0.2","0.1","-0.1","0.00","0.7","70.000000","70.000000","0.000000","0.000000","2.0","0.0"
00:00:37,"51.129870","1.380710","250.11","10.2","250.18","10.0","246.51","0.2","0.1","-0.1","0.00","0.8","70.000000","70.000000","0.000000","0.000000","2.0","0.0"
00:00:38,"51.129854","1.380640","250.06","10.2","250.20","10.0","243.13","0.2","0.1","-0.1","0.00","0.8","70.000000","70.000000","0.000000","0.000000","2.0","0.0"
00:00:39,"51.129838","1.380569","250.01","10.2","250.21","10.0","239.80","0.2","0.0","-0.1","0.00","0.9","70.000000","70.000000","0.000000","0.000000","2.0","0.0"
00:00:40,"51.129822","1.380498","249.99","10.2","250.23","10.0","238.21","0.2","0.0","-0.1","0.00","0.9","70.000000","70.000000","0.000000","0.000000","2.0","0.0"
00:00:41,"51.129806","1.380428","249.97","10.2","250.24","10.0","236.29","0.2","0.0","-0.1","0.00","0.9","70.000000","70.000000","0.000000","0.000000","2.0","0.0"
00:00:42,"51.129789","1.380357","249.97","10.2","250.26","10.0","235.83","0.2","0.0","-0.1","0.00","1.0","70.000000","70.000000","0.000000","0.000000","2.0","0.0"
00:00:43,"51.129773","1.380286","249.97","10.2","250.27","10.0","235.09","0.2","0.0","-0.1","0.00","1.0","70.000000","70.000000","0.000000","0.000000","2.0","0.0"
00:00:44,"51.129757","1.380215","250.01","10.2","250.29","10.0","236.27","0.2","0.0","-0.1","0.00","1.0","70.000000","70.000000","0.000000","0.000000","2.0","0.0"
00:00:45,"51.129741","1.380144","250.05","10.2","250.31","10.0","237.14","0.2","0.1","-0.1","0.00","1.1","70.000000","70.000000","0.000000","0.000000","2.0","0.0"
00:00:46,"51.129725","1.380073","250.09","10.2","250.33","10.0","238.41","0.2","0.1","-0.1","0.00","1.1","70.000000","70.000000","0.000000","0.000000","2.0","0.0"
00:00:47,"51.129709","1.380003","250.13","10.2","250.34","10.0","239.68","0.2","0.1","-0.1","0.00","1.1","70.000000","70.000000","0.000000","0.000000","2.0","0.0"
00:00:48,"51.129693","1.379932","250.18","10.2","250.36","10.0","240.89","0.2","0.1","-0.1","0.00","1.1","70.000000","70.000000","0.000000","0.000000","2.0","0.0"
00:00:49,"51.129677","1.379861","250.22","10.2","250.38","10.0","242.09","0.2","0.1","-0.1","0.00","1.1","70.000000","70.000000","0.000000","0.000000","2.0","0.0"
00:00:50,"51.129660","1.379790","250.25","10.2","250.40","10.0","242.70","0.2","0.1","-0.1","0.00","1.1","70.000000","70.000000","0.000000","0.000000","2.0","0.0"
00:00:51,"51.129644","1.379718","250.28","10.2","250.42","10.0","243.07","0.2","0.1","-0.1","0.00","1.1","70.000000","70.000000","0.000000","0.000000","2.0","0.0"
00:00:52,"51.129628","1.379647","250.29","10.2","250.44","10.0","242.78","0.2","0.1","-0.1","0.00","1.1","70.000000","70.000000","0.000000","0.000000","2.0","0.0"
00:00:53,"51.129612","1.379576","250.30","10.3","250.46","10.1","242.46","0.2","0.1","-0.1","0.00","1.1","70.000000","70.000000","0.000000","0.000000","2.0","0.0"
00:00:54,"51.129597","1.379505","250.31","10.3","250.48","10.1","242.12","0.2","0.1","-0.1","0.00","1.1","70.000000","70.000000","0.000000","0.000000","2.0","0.0"
00:00:55,"51.129580","1.379434","250.28","10.3","250.49","10.1","239.63","0.2","0.1","-0.1","0.00","1.1","70.000000","70.000000","0.000000","0.000000","2.0","0.0"
00:00:56,"51.129564","1.379363","250.26","10.3","250.51","10.0","238.82","0.2","0.1","-0.1","0.00","1.1","70.000000","70.000000","0.000000","0.000000","2.0","0.0"
00:00:57,"51.129548","1.379291","250.24","10.3","250.53","10.0","237.19","0.2","0.0","-0.2","0.00","1.1","70.000000","70.000000","0.000000","0.000000","2.0","0.0"
