OS: Cruise ship Iona
Trainee: 
Exercise name: FMB2_301.nti
Area: Dover
Exercise start time: 12:00:00
Exercise date: 11/28/2023
Step (sec): 1
Model version: 2.222.1804.0 / 0.0.0.0 / 2.94.4026.0 / 3.0.2.0

time,Local position X,Local position Y,Heading,Autopilot state,Autopilot course,Rate of turn,Port telegraph order,Starboard telegraph order,Port engine RPM,Starboard engine RPM,Port propeller pitch,Starboard propeller pitch,Port rudder order,Starboard rudder order,Port rudder angle,Starboard rudder angle,Bow thruster power order,Bow thruster gained power,Stern thruster power order,Stern thruster gained power,Distance made Good,Water depth (echo-sounder),Draft at ship bow,Draft at ship stern,Under keel clearance fwd,Under keel clearance aft,Current speed,Current direction,True wind speed,True wind direction,Relative wind speed,Relative wind direction,Significant wave height,Wave direction,Longitudinal speed through the water,Transverse speed through the water,Longitudinal speed,Transverse speed,Transverse speed at ship's bow,Transverse speed at ship's stern,Drift angle,Surge,Surge speed,Sway,Sway speed,Heave,Heave speed,Yaw angle,Yaw rate,Roll angle,Roll rate,Pitch angle,Pitch rate,Height above the water
,meters,meters,degrees,,degrees,degrees_per_minute,,,,,,,degrees,degrees,degrees,degrees,,percent_tenths,,percent_tenths,meters,meters,meters,meters,meters,meters,knots,degrees,knots,degrees,knots,degrees,meters,degrees,knots,knots,knots,knots,knots,knots,degrees,meters,knots,meters,knots,meters,knots,degrees,degrees_per_minute,degrees,degrees_per_minute,degrees,degrees_per_minute,meters
00:00:00,"4,415.41","2,548.06","250.00",Off,"250.00","0.0","40.000000","40.000000","65.000000","65.000000","100.000000","100.000000","0.00","0.00","0.00","0.00","0.000000","0.0","0.000000","0.0","2.00","0.00","0.00","0.00","0.00","0.00","1.2","45.10","0.0","0.00","0.0","0.00","0.00","0.00","-0.0","10.0","8.9","0.5","0.5","0.5","0.00","0.00","0.0","0.00","0.0","0.00","0.0","0.00","0.0","0.58","0.0","0.08","0.0","5.32"
00:00:01,"4,411.69","2,546.94","250.00",Off,"250.00","0.2","40.000000","40.000000","64.000000","64.000000","100.000000","100.000000","0.00","0.00","0.00","0.00","1.000000","1.0","0.000000","0.0","5.00","28.38","8.37","8.80","19.42","20.16","1.2","45.10","16.8","195.10","22.8","324.50","1.00","225.00","0.0","10.0","8.9","0.5","0.6","0.5","356.71","0.97","-0.0","0.05","0.0","-0.00","-0.0","0.00","0.1","0.57","-2.5","0.07","-0.7","5.31"
00:00:02,"4,407.30","2,545.64","250.01",Off,"250.00","0.4","40.000000","40.000000","64.000000","64.000000","100.000000","100.000000","0.00","0.00","0.00","0.00","1.000000","1.0","0.000000","0.0","10.00","28.36","8.42","8.79","19.34","20.16","1.2","45.10","16.6","195.40","22.5","325.00","1.00","225.00","0.1","10.0","8.9","0.6","0.6","0.5","356.39","2.58","-0.0","0.16","0.1","-0.01","-0.1","0.00","0.2","0.50","-4.8","0.06","-1.2","5.28"
00:00:03,"4,402.92","2,544.37","250.01",Off,"250.00","0.5","40.000000","40.000000","64.000000","64.000000","100.000000","100.000000","0.00","0.00","0.00","0.00","1.000000","1.0","0.000000","0.0","15.00","28.34","8.51","8.77","19.23","20.17","1.2","45.10","17.1","195.70","23.0","324.80","1.00","225.00","0.1","10.0","8.9","0.6","0.7","0.6","356.17","3.17","-0.0","0.20","0.1","-0.02","-0.0","0.01","0.2","0.41","-5.9","0.04","-1.4","5.25"
00:00:04,"4,398.53","2,543.11","250.02",Off,"250.00","0.7","40.000000","40.000000","64.000000","64.000000","100.000000","100.000000","0.00","0.00","0.00","0.00","1.000000","1.0","0.000000","0.0","23.00","28.33","8.61","8.73","19.12","20.19","1.2","45.10","17.6","195.60","23.5","324.30","1.00","225.00","0.1","10.0","8.9","0.6","0.7","0.6","356.03","3.39","-0.0","0.23","0.1","-0.02","-0.0","0.02","0.2","0.31","-5.8","0.01","-1.3","5.23"
00:00:05,"4,394.14","2,541.85","250.04",Off,"250.00","0.8","40.000000","40.000000","64.000000","64.000000","100.000000","100.000000","0.00","0.00","0.00","0.00","1.000000","1.0","0.000000","0.0","25.00","28.31","8.66","8.67","19.04","20.24","1.2","45.10","17.6","195.40","23.5","324.20","1.00","225.00","0.1","10.0","8.9","0.6","0.7","0.5","356.01","3.47","-0.0","0.24","0.1","-0.01","0.0","0.03","0.2","0.23","-4.6","359.99","-1.0","5.23"
00:00:06,"4,389.75","2,540.60","250.05",Off,"250.00","1.0","40.000000","40.000000","64.000000","64.000000","100.000000","100.000000","0.00","0.00","0.00","0.00","1.000000","1.0","0.000000","0.0","30.00","28.29","8.70","8.62","18.98","20.27","1.2","45.10","17.3","195.80","23.2","324.70","1.00","225.00","0.1","10.0","8.9","0.6","0.7","0.5","356.03","3.49","-0.0","0.24","0.1","0.00","0.0","0.04","0.2","0.16","-3.0","359.98","-0.6","5.24"
00:00:07,"4,385.36","2,539.34","250.07",Off,"250.00","1.1","40.000000","40.000000","64.000000","64.000000","100.000000","100.000000","0.00","0.00","0.00","0.00","1.000000","1.0","0.000000","0.0","35.00","28.27","8.72","8.59","18.94","20.29","1.2","45.10","17.1","197.30","23.2","325.90","1.00","225.00","0.1","10.0","8.9","0.6","0.7","0.5","356.07","3.51","-0.0","0.24","0.0","0.01","0.0","0.05","0.2","0.13","-1.2","359.97","-0.1","5.25"
00:00:08,"4,380.97","2,538.07","250.09",Off,"250.00","1.2","40.000000","40.000000","64.000000","64.000000","100.000000","100.000000","0.00","0.00","0.00","0.00","1.000000","1.0","0.000000","0.0","40.00","28.25","8.73","8.58","18.91","20.28","1.2","45.10","17.3","198.90","23.5","326.90","1.00","225.00","0.1","10.0","8.9","0.6","0.7","0.5","356.11","3.51","-0.0","0.24","0.0","0.00","-0.0","0.07","0.2","0.12","0.4","359.98","0.2","5.24"
