OS: Cruise ship Iona
Trainee: 
Exercise name: FMB2_302.nti
Area: Dover
Exercise start time: 12:00:00
Exercise date: 11/28/2023
Step (sec): 1
Model version: 2.222.1804.0 / 0.0.0.0 / 2.94.4026.0 / 3.0.2.0

time,Local position X,Local position Y,Heading,Autopilot state,Autopilot course,Rate of turn,Port telegraph order,Starboard telegraph order,Port engine RPM,Starboard engine RPM,Port propeller pitch,Starboard propeller pitch,Port rudder order,Starboard rudder order,Port rudder angle,Starboard rudder angle,Bow thruster power order,Bow thruster gained power,Stern thruster power order,Stern thruster gained power,Distance made Good,Water depth (echo-sounder),Draft at ship bow,Draft at ship stern,Under keel clearance fwd,Under keel clearance aft,Current speed,Current direction,True wind speed,True wind direction,Relative wind speed,Relative wind direction,Significant wave height,Wave direction,Longitudinal speed through the water,Transverse speed through the water,Longitudinal speed,Transverse speed,Transverse speed at ship's bow,Transverse speed at ship's stern,Drift angle,Surge,Surge speed,Sway,Sway speed,Heave,Heave speed,Yaw angle,Yaw rate,Roll angle,Roll rate,Pitch angle,Pitch rate,Height above the water
,meters,meters,degrees,,degrees,degrees_per_minute,,,,,,,degrees,degrees,degrees,degrees,,percent_tenths,,percent_tenths,meters,meters,meters,meters,meters,meters,knots,degrees,knots,degrees,knots,degrees,meters,degrees,knots,knots,knots,knots,knots,knots,degrees,meters,knots,meters,knots,meters,knots,degrees,degrees_per_minute,degrees,degrees_per_minute,degrees,degrees_per_minute,meters
00:00:00,"-26.19","893.62","93.00",Off,"93.00","0.0","0.000000","0.000000","0.000000","0.000000","100.000000","100.000000","0.00","0.00","0.00","0.00","1.000000","0.0","0.000000","0.0","0.00","0.00","0.00","0.00","0.00","0.00","0.0","122.10","0.0","0.00","0.0","0.00","0.00","0.00","-0.0","0.0","0.1","0.0","0.0","0.0","0.00","0.00","0.0","0.00","0.0","0.00","0.0","0.00","0.0","359.94","0.0","359.87","0.0","5.26"
00:00:01,"-26.16","893.61","93.00",Off,"93.00","0.0","-10.000000","0.000000","0.000000","0.000000","100.000000","100.000000","0.00","0.00","0.00","0.00","1.000000","1.0","0.000000","0.0","0.00","15.92","8.98","8.29","7.32","7.25","0.0","122.10","8.0","222.20","8.0","128.80","1.00","225.00","-0.0","0.0","0.1","0.0","0.0","0.0","350.79","0.01","0.0","0.00","-0.0","0.00","0.0","0.00","0.0","359.94","0.1","359.88","1.2","5.27"
00:00:02,"-26.12","893.60","93.00",Off,"93.00","0.1","-10.000000","0.000000","0.000000","0.000000","100.000000","100.000000","0.00","0.00","0.00","0.00","1.000000","1.0","0.000000","0.0","0.00","15.92","8.91","8.34","7.39","7.21","0.0","122.10","7.9","222.30","7.8","128.80","1.00","225.00","-0.0","0.0","0.1","0.0","0.0","-0.0","355.16","0.02","0.0","0.00","-0.0","0.01","0.0","0.00","0.0","359.94","0.3","359.91","2.1","5.28"
00:00:03,"-26.08","893.60","93.00",Off,"93.00","0.2","-10.000000","0.000000","0.000000","0.000000","100.000000","100.000000","0.00","0.00","0.00","0.00","1.000000","1.0","0.000000","0.0","0.00","15.92","8.80","8.42","7.50","7.12","0.0","122.10","8.1","222.40","8.0","128.90","1.00","225.00","-0.0","0.1","0.1","0.0","0.0","-0.0","358.15","0.03","0.0","0.00","-0.0","0.01","0.0","0.00","0.1","359.95","0.4","359.95","2.6","5.30"
00:00:04,"-26.03","893.60","93.01",Off,"93.00","0.2","0.000000","0.000000","0.000000","0.000000","100.000000","100.000000","358.00","359.00","358.00","359.00","1.000000","1.0","0.000000","0.0","0.00","15.92","8.65","8.51","7.65","7.03","0.0","122.10","8.3","222.40","8.2","128.90","1.00","225.00","-0.0","0.1","0.1","-0.0","0.0","-0.0","359.56","0.03","0.0","0.00","-0.0","0.02","0.0","0.01","0.1","359.95","0.4","359.99","2.6","5.33"
00:00:05,"-25.99","893.60","93.01",Off,"93.00","0.3","0.000000","0.000000","0.000000","0.000000","100.000000","100.000000","358.00","359.00","358.00","359.00","1.000000","1.0","0.000000","0.0","0.00","15.92","8.54","8.62","7.76","6.93","0.0","122.10","8.3","222.30","8.2","128.80","1.00","225.00","-0.0","0.0","0.1","-0.0","0.0","-0.0","0.54","0.03","0.0","0.00","-0.0","0.01","-0.0","0.01","0.1","359.96","0.3","0.03","1.9","5.32"
00:00:06,"-25.95","893.60","93.02",Off,"93.00","0.3","0.000000","0.000000","0.000000","0.000000","100.000000","100.000000","358.00","359.00","358.00","359.00","1.000000","1.0","0.000000","0.0","0.00","15.92","8.46","8.70","7.84","6.85","0.0","122.10","8.1","222.50","8.1","129.10","1.00","225.00","-0.0","0.0","0.1","-0.0","0.0","-0.0","1.32","0.03","0.0","-0.00","-0.0","0.00","0.0","0.01","0.1","359.96","0.2","0.05","1.1","5.33"
00:00:07,"-25.92","893.59","93.02",Off,"93.00","0.4","0.000000","0.000000","0.000000","0.000000","100.000000","100.000000","358.00","359.00","358.00","359.00","1.000000","1.0","0.000000","0.0","0.00","15.92","8.40","8.73","7.90","6.81","0.0","122.10","8.1","223.10","8.0","129.70","1.00","225.00","-0.0","0.0","0.1","-0.0","0.0","-0.0","2.06","0.03","-0.0","-0.00","-0.0","0.01","-0.0","0.02","0.1","359.97","0.1","0.06","0.2","5.33"
00:00:08,"-25.89","893.59","93.03",Off,"93.00","0.5","0.000000","0.000000","0.000000","0.000000","100.000000","100.000000","358.00","359.00","358.00","359.00","1.000000","1.0","0.000000","0.0","0.00","15.92","8.40","8.75","7.90","6.80","0.0","122.10","8.1","223.70","8.1","130.40","1.00","225.00","-0.0","0.0","0.1","-0.0","0.0","-0.0","2.96","0.03","-0.0","-0.00","-0.0","-0.00","-0.0","0.02","0.1","359.97","-0.0","0.06","-0.5","5.32"
