OS: Cruise ship Iona
Trainee: 
Exercise name: FMB2_303.nti
Area: Dover
Exercise start time: 12:00:00
Exercise date: 11/28/2023
Step (sec): 1
Model version: 2.222.1804.0 / 0.0.0.0 / 2.94.4026.0 / 3.0.2.0

time,Latitude,Longitude,COG,SOG,Heading,Log,Set,Drift,Transverse speed at ship's bow,Transverse speed at ship's stern,Port rudder angle,Rate of turn,Port engine RPM,Starboard engine RPM,Port propeller pitch,Starboard propeller pitch,Bow thruster gained power,Stern thruster gained power
,,,degrees,knots,degrees,knots,degrees,knots,knots,knots,degrees,degrees_per_minute,,,,,percent_tenths,percent_tenths
00:00:00,"51.112186","1.322310","51.63","0.1","93.00","0.1","15.25","0.1","-0.1","-0.1","0.00","0.0","0.000000","0.000000","100.000000","100.000000","0.0","0.0"
00:00:01,"51.112186","1.322311","47.57","0.1","93.00","0.1","13.73","0.1","-0.1","-0.1","0.00","0.1","0.000000","0.000000","100.000000","100.000000","1.0","0.0"
00:00:02,"51.112187","1.322311","43.92","0.1","93.00","0.1","12.52","0.1","-0.1","-0.1","0.00","0.1","0.000000","0.000000","100.000000","100.000000","1.0","0.0"
00:00:03,"51.112187","1.322312","44.35","0.1","93.01","0.1","12.63","0.1","-0.1","-0.1","0.00","0.2","0.000000","0.000000","100.000000","100.000000","1.0","0.0"
00:00:04,"51.112188","1.322313","45.91","0.1","93.01","0.1","13.09","0.1","-0.1","-0.1","0.00","0.3","0.000000","0.000000","100.000000","100.000000","1.0","0.0"
00:00:05,"51.112188","1.322313","51.29","0.1","93.02","0.1","14.96","0.1","-0.0","-0.1","0.00","0.4","0.000000","0.000000","100.000000","100.000000","1.0","0.0"
00:00:06,"51.112188","1.322314","57.27","0.1","93.02","0.1","17.53","0.1","-0.0","-0.1","0.00","0.5","0.000000","0.000000","100.000000","100.000000","1.0","0.0"
00:00:07,"51.112189","1.322315","71.37","0.1","93.03","0.1","27.76","0.0","0.0","-0.1","0.00","0.6","0.000000","0.000000","100.000000","100.000000","1.0","0.0"
00:00:08,"51.112189","1.322316","84.72","0.1","93.04","0.1","53.97","0.0","0.0","-0.1","0.00","0.6","0.000000","0.000000","100.000000","100.000000","1.0","0.0"
00:00:09,"51.112189","1.322316","99.68","0.1","93.05","0.1","126.10","0.0","0.1","-0.1","0.00","0.7","0.000000","0.000000","100.000000","100.000000","1.0","0.0"
00:00:10,"51.112189","1.322317","111.83","0.1","93.07","0.1","155.60","0.0","0.1","-0.0","0.00","0.8","0.000000","0.000000","100.000000","100.000000","1.0","0.0"
00:00:11,"51.112188","1.322318","116.15","0.1","93.08","0.1","160.64","0.0","0.1","-0.0","0.00","0.9","0.000000","0.000000","100.000000","100.000000","1.0","0.0"
00:00:12,"51.112188","1.322319","120.82","0.1","93.10","0.1","164.69","0.1","0.2","-0.0","0.00","1.0","0.000000","0.000000","100.000000","100.000000","1.0","0.0"
00:00:13,"51.112188","1.322319","121.31","0.1","93.11","0.1","165.08","0.1","0.2","-0.1","0.00","1.1","0.000000","0.000000","100.000000","100.000000","1.0","0.0"
00:00:14,"51.112187","1.322320","122.20","0.1","93.13","0.1","165.73","0.1","0.2","-0.1","1.00","1.2","0.000000","0.000000","100.000000","100.000000","1.0","0.0"
00:00:15,"51.112187","1.322321","122.96","0.1","93.16","0.1","166.26","0.1","0.2","-0.1","3.00","1.3","0.000000","0.000000","100.000000","100.000000","1.0","0.0"
00:00:16,"51.112187","1.322322","123.67","0.1","93.18","0.1","166.76","0.1","0.2","-0.1","8.00","1.4","0.000000","0.000000","100.000000","100.000000","1.0","0.0"
00:00:17,"51.112187","1.322322","124.38","0.1","93.20","0.1","167.22","0.1","0.2","-0.1","13.00","1.5","0.000000","0.000000","100.000000","100.000000","1.0","0.0"
00:00:18,"51.112186","1.322323","124.62","0.1","93.23","0.1","167.50","0.1","0.2","-0.1","18.00","1.5","0.000000","0.000000","100.000000","100.000000","1.0","0.0"
00:00:19,"51.112186","1.322324","125.18","0.1","93.25","0.1","167.91","0.1","0.2","-0.1","23.00","1.6","0.000000","0.000000","100.000000","100.000000","1.0","0.0"
