OS: Cruise ship Iona
Trainee: 
Exercise name: FMB2_305.nti
Area: Dover
Exercise start time: 12:00:00
Exercise date: 11/28/2023
Step (sec): 1
Model version: 2.222.1804.0 / 0.0.0.0 / 2.94.4026.0 / 3.0.2.0

time,Latitude,Longitude,COG,SOG,Heading,Log,Set,Drift,Transverse speed at ship's bow,Transverse speed at ship's stern,Port rudder angle,Rate of turn,Port engine RPM,Starboard engine RPM,Port propeller pitch,Starboard propeller pitch,Bow thruster gained power,Stern thruster gained power
,,,degrees,knots,degrees,knots,degrees,knots,knots,knots,degrees,degrees_per_minute,,,,,percent_tenths,percent_tenths
00:00:00,"51.112250","1.322018","175.75","0.3","92.00","0.0","178.64","0.3","0.3","0.3","0.00","0.0","0.000000","0.000000","100.000000","100.000000","0.0","0.0"
00:00:01,"51.112249","1.322019","175.70","0.3","92.00","0.0","178.84","0.3","0.4","0.3","0.00","0.4","0.000000","0.000000","100.000000","100.000000","1.0","0.0"
00:00:02,"51.112247","1.322019","175.60","0.3","92.01","0.0","178.95","0.3","0.4","0.3","358.00","0.8","0.000000","0.000000","100.000000","100.000000","1.0","0.0"
00:00:03,"51.112246","1.322019","175.50","0.4","92.03","0.0","179.02","0.3","0.5","0.2","358.00","1.2","0.000000","0.000000","100.000000","100.000000","1.0","0.0"
00:00:04,"51.112244","1.322019","175.47","0.3","92.05","0.0","178.90","0.3","0.5","0.2","355.00","1.7","0.000000","0.000000","100.000000","100.000000","1.0","0.0"
00:00:05,"51.112243","1.322019","175.35","0.3","92.08","0.0","178.62","0.3","0.5","0.1","353.00","2.1","0.000000","0.000000","100.000000","100.000000","1.0","0.0"
00:00:06,"51.112241","1.322020","174.97","0.3","92.12","0.0","178.10","0.3","0.5","0.0","348.00","2.6","0.000000","0.000000","100.000000","100.000000","1.0","0.0"
00:00:07,"51.112240","1.322020","174.13","0.2","92.17","0.0","177.22","0.2","0.5","-0.1","343.00","3.0","0.000000","0.000000","100.000000","100.000000","1.0","0.0"
00:00:08,"51.112239","1.322020","172.54","0.2","92.23","0.0","175.76","0.2","0.5","-0.2","338.00","3.5","0.000000","1.000000","100.000000","100.000000","1.0","0.0"
